code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
N9K-X9788TC-FX,,,,4.0,,,,,48.0,,1.76 Tbps,x,80MB,linecard,,9500,4790.793782
N9K-X9788TC-FX,,,,4.0,,,,,,48.0,1.76 Tbps,x,80MB,linecard,,9500,4790.793782
N9K-X9788TC-FX,,,,,,4.0,,48.0,,,1.76 Tbps,x,80MB,linecard,,9500,4790.793782
N9K-X9788TC-FX,,,,,,4.0,,,48.0,,1.76 Tbps,x,80MB,linecard,,9500,4790.793782
N9K-X9788TC-FX,,,,,,4.0,,,,48.0,1.76 Tbps,x,80MB,linecard,,9500,4790.793782
N9K-X9624D-R2,,24.0,,,,,,,,,9.6 Tbps,,16 GB,linecard,,9500,31438.82383
N9K-X9624D-R2,,,,24.0,,,,,,,9.6 Tbps,,16 GB,linecard,,9500,31438.82383
N9K-X9636C-RX,,,,36.0,,,,,,,3.6 Tbps,,16 GB,linecard,,9500,11225.33011
N9K-X9636C-RX,,,,,,36.0,,,,,3.6 Tbps,,16 GB,linecard,,9500,11225.33011
N9K-X9636C-R,,,,36.0,,,,,,,3.6 Tbps,,24 GB,linecard,,9500,11225.33011
N9K-X9636C-R,,,,,,36.0,,,,,3.6 Tbps,,24 GB,linecard,,9500,11225.33011
N9K-X9636Q-R,,,,,,36.0,,,,,1.4 Tbps,,12 GB,linecard,,9500,11225.33011
N9K-X96136YC-R,,,,4.0,,,32.0,16.0,,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
N9K-X96136YC-R,,,,4.0,,,32.0,,16.0,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
N9K-X96136YC-R,,,,4.0,,,,48.0,,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
N9K-X96136YC-R,,,,4.0,,,,,48.0,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
N9K-X96136YC-R,,,,,,4.0,32.0,16.0,,,1.2 Tbps,x,4 GB,linecard,,9500,4039.218523
