code,800,400,200,100,50,40,25,10,1,0.1,throughput,macsec,deepbuffer,type,maxmodules,family,cost
36-port 400GE,,,,,288.0,,,,,,,x,16 GB,linecard,,7250 IXR,99642.26879
36-port 400GE,,,,,,36.0,,,,,,x,16 GB,linecard,,7250 IXR,99642.26879
36-port 400GE,,,,,,,144.0,,,,,x,16 GB,linecard,,7250 IXR,99642.26879
36-port 400GE,,,,,,,,144.0,,,,x,16 GB,linecard,,7250 IXR,99642.26879
60-port 100GE,,,,60.0,,,,,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,,120.0,,,,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,,,60.0,,,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,24.0,,,144.0,,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,,48.0,,144.0,,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,,,24.0,144.0,,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,24.0,,,,144.0,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,,48.0,,,144.0,,,,x,8 GB,linecard,,7250 IXR,19192.88709
60-port 100GE,,,,,,24.0,,144.0,,,,x,8 GB,linecard,,7250 IXR,19192.88709
7250 IXR-X1b,,12.0,,24.0,,,,,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,,,72.0,,,,,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,,,,,36.0,,,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,12.0,,,,,96.0,,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,,,48.0,,,96.0,,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,,,,,12.0,96.0,,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,12.0,,,,,,96.0,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,,,48.0,,,,96.0,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X1b,,,,,,12.0,,96.0,,,7.2 Tb/s,,,fixed,,7250 IXR-X,23242.38103
7250 IXR-X3b,,36.0,,,,,,,,,14.4 Tb/s,,,fixed,,7250 IXR-X,48124.04366
7250 IXR-X3b,,,,144.0,,,,,,,14.4 Tb/s,,,fixed,,7250 IXR-X,48124.04366
7250 IXR-X3b,,,,,,36.0,,,,,14.4 Tb/s,,,fixed,,7250 IXR-X,48124.04366
7250 IXR-X3b,,,,,,,144.0,,,,14.4 Tb/s,,,fixed,,7250 IXR-X,48124.04366
7250 IXR-X3b,,,,,,,,144.0,,,14.4 Tb/s,,,fixed,,7250 IXR-X,48124.04366
7220 IXR-D5,,32.0,,,,,,2.0,,,12.8 Tb/s,,132 MB,fixed,,7250 IXR-D,42595.51975
7220 IXR-D5,,,64.0,,,,,2.0,,,12.8 Tb/s,,132 MB,fixed,,7250 IXR-D,42595.51975
7220 IXR-D5,,,,128.0,,,,2.0,,,12.8 Tb/s,,132 MB,fixed,,7250 IXR-D,42595.51975
7220 IXR-D5,,,,,128.0,,,2.0,,,12.8 Tb/s,,132 MB,fixed,,7250 IXR-D,42595.51975
7220 IXR-D5,,,,,,32.0,,2.0,,,12.8 Tb/s,,132 MB,fixed,,7250 IXR-D,42595.51975
7220 IXR-D5,,,,,,,128.0,2.0,,,12.8 Tb/s,,132 MB,fixed,,7250 IXR-D,42595.51975
7220 IXR-D5,,,,,,,,130.0,,,12.8 Tb/s,,132 MB,fixed,,7250 IXR-D,42595.51975
7220 IXR-D4,,8.0,,28.0,,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,2.0,12.0,28.0,,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,3.0,,48.0,,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,,6.0,48.0,,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,8.0,,,28.0,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,2.0,12.0,,28.0,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,3.0,,,46.0,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,,6.0,,46.0,,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,8.0,,,,28.0,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,2.0,12.0,,,28.0,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,,,,,36.0,,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,8.0,,18.0,,,40.0,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,2.0,12.0,18.0,,,40.0,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,8.0,,,,,40.0,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,2.0,12.0,,,,40.0,,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,8.0,,18.0,,,,40.0,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,2.0,12.0,18.0,,,,40.0,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,8.0,,,,,,40.0,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D4,,2.0,12.0,,,,,40.0,,,6.0 Tb/s,,82 MB,fixed,,7250 IXR-D,19192.88709
7220 IXR-D3L,,,,32.0,,,,,,,3.2 Tb/s,,32 MB,fixed,,7250 IXR-D,9919.48152
7220 IXR-D3L,,,,,62.0,,,,,,3.2 Tb/s,,32 MB,fixed,,7250 IXR-D,9919.48152
7220 IXR-D3L,,,,,,32.0,,,,,3.2 Tb/s,,32 MB,fixed,,7250 IXR-D,9919.48152
7220 IXR-D3L,,,,,,,124.0,,,,3.2 Tb/s,,32 MB,fixed,,7250 IXR-D,9919.48152
7220 IXR-D3L,,,,,,,,126.0,,,3.2 Tb/s,,32 MB,fixed,,7250 IXR-D,9919.48152
7220 IXR-D2L,,,,8.0,,,48.0,2.0,,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,,16.0,,48.0,2.0,,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,,,8.0,48.0,2.0,,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,8.0,,,,50.0,,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,,16.0,,,50.0,,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,,,8.0,,50.0,,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,8.0,,,,2.0,48.0,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,,16.0,,,2.0,48.0,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D2L,,,,,,8.0,,2.0,48.0,,2.0 Tb/s,,32 MB,fixed,,7250 IXR-D,6119.281517
7220 IXR-D1,,,,,,,,4.0,48.0,,88 Gb/s,,8 MB,fixed,,7250 IXR-D,227.923078
7220 IXR-D1,,,,,,,,4.0,,48.0,88 Gb/s,,8 MB,fixed,,7250 IXR-D,227.923078
7215 IXS-A1,,,,,,,,4.0,4.0,48.0,88 Gb/s,,3 MB,fixed,,7215 IXS,122.7219673
7215 IXS-A1,,,,,,,,4.0,52.0,,88 Gb/s,,3 MB,fixed,,7215 IXS,122.7219673
