code,cost
7280SR3E-40YC6-M,4790.793782
7280TR3-40C6,1938.766586
7135V-48Y-4QC,4790.793782
7060X6-64PE,182311.8737
7060X6-64PE-B,182311.8737
7060X6-32PE,182311.8737
7060DX5-64S,88123.0616
7060DX5-64E,88123.0616
7060PX5-64E,88123.0616
7060DX5-64,88123.0616
7060DX5-32,42560.63331
 7060CX5-56D8,28728.05339
7060PX4-32,42595.51975
7060DX4-32,42595.51975
7060CX2-32S,9925.991282
7060CX-32S,9925.991282
7060SX2-48YC6,5421.477077
7260CX-64,20605.98005
7260QX-64,20605.98005
7260CX3-64,20605.98005
7260CX3-64E,20605.98005
7050DX4-32S,42595.51975
7050PX4-32S,42595.51975
7050DX4M-32S,42595.51975
7050SDX4-48D8,25961.27286
7050SPX4-48D8,25961.27286
7050CX4-24D8,26029.42546
7050CX4M-48D8,26029.42546
7050X4-48Y-4DF,8621.789757
7050CX3-32S,9952.032359
7050CX3-32C,9984.588269
7050SX3-48C8,3790.1113
7050SX3-48C8C,3790.1113
7050TX3-48C8,3790.1113
7050SX3-96YC8,9984.588269
7050SX3-48YC12,7333.364963
7050SX3-48YC8,6055.681021
7050SX3-48YC8C,6055.681021
7050SX3-24YC4C,2924.701147
7050CX3M-32S,9952.032359
